genre,supergenre
acoustic,acoustic
afrobeat,afrobeat
alt-rock,alternative
alternative,alternative
ambient,acoustic
anime,anime
black-metal,metal
bluegrass,bluegrass
blues,blues
bossanova,brazilian
brazil,brazilian
breakbeat,break
british,british
cantopop,asian-pop
chicaco-house,house
children,children
chill,chill
classical,classical
club,club
comedy,comedy
country,country
dance,club
dancehall,club
death-metal,metal
deep-house,house
detroit-techno,electronic
disco,disco
disney,disney
drum-and-bass,drum-and-bass
dub,electronic
dubstep,electronic
edm,electronic
electro,electronic
electronic,electronic
emo,emo
folk,folk
forro,brazilian
french,french
funk,funk
garage,garage
german,german
gospel,gospel
goth,goth
grindcore,grindcore
groove,groove
grunge,grunge
guitar,rock
happy,pop
hard-rock,rock
hardcore,metal
hardstyle,metal
heavy-metal,metal
hip-hop,hip-hop
holidays,holidays
honky-tonk,country
house,house
idm,eletronic
indian,indian
indie,indie
indie-pop,indie
industrial,industrial
iranian,iranian
j-dance,japanese
j-idol,japanese
j-pop,japanese
j-rock,japanese
jazz,jazz
k-pop,k-pop
kids,children
latin,latin
latino,latin
malay,malay
mandopop,asian-pop
metal,metal
metal-misc,metal
metalcore,metal
minimal-techno,eletronic
movies,movies
mpb,brazilian
new-age,acoustic
new-release,acoustic
opera,classical
pagode,brazilian
party,club
philippines-opm,asian-pop
piano,piano
pop,pop
pop-film,pop
post-dubstep,eletronic
power-pop,pop
progressive-house,house
psych-rock,rock
punk,punk
punk-rock,punk
r-n-b,blues
rainy-day,chill
reggae,reggae
reggaeton,reggaeton
road-trip,road-trip
rock,rock
rock-n-roll,rock
rockabilly,rock
romance,romance
sad,sad
salsa,latin
samba,brazilian
sertanejo,brazilian
show-tunes,show-tunes
singer-songwriter,folk
ska,ska
sleep,sleep
songwriter,folk
soul,soul
soundtracks,soundtracks
spanish,spanish
study,study
summer,summer
swedish,swedish
synth-pop,pop
tango,latin
techno,eletronic
trance,trance
trip-hop,hip-hop
turkish,turkish
work-out,work-out
world-music,world-music
